file,cm_00,cm_01,cm_02,cm_03,cm_10,cm_11,cm_12,cm_13,cm_20,cm_21,cm_22,cm_23,cm_30,cm_31,cm_32,cm_33
4T1002,645,186,141,182,333,321,195,201,285,181,307,173,292,187,237,220
4T1004,406,189,0,130,191,499,0,295,1,0,775,0,206,458,0,308
4T1005,606,0,0,77,5,313,101,329,0,101,478,14,70,132,118,749
4T1006,199,0,326,396,0,895,0,0,197,0,357,329,154,0,197,551
4T1007,344,0,99,0,0,1264,0,55,164,0,397,0,0,740,0,157
4T1008,571,186,53,182,314,263,128,295,273,222,128,290,266,233,113,322
4T1009,310,207,265,203,86,576,161,161,210,228,343,177,227,223,151,360
4T1010,998,0,0,0,0,539,0,458,0,0,998,0,0,467,0,525
4T1012,135,61,42,24,48,547,213,52,70,436,236,91,69,458,236,79
4T1014,569,225,108,82,206,495,188,88,326,363,187,87,372,344,143,109
4T1015,561,146,29,208,239,423,82,197,98,102,527,255,323,166,145,336
